postcode,rkey,time_period,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2306,r121,2017 Q3,330.0,20.0,177.0,-0.0222,0.0556,,
2307,r121,2017 Q3,335.0,44.0,453.0,-0.1067,-0.2,,
2311,r121,2017 Q3,450.0,5.0,20.0,,-0.75,,
2312,r121,2017 Q3,450.0,5.0,88.0,,0.5,,
2315,r121,2017 Q3,375.0,167.0,1657.0,-0.0132,0.0309,,
2316,r121,2017 Q3,410.0,20.0,399.0,-0.0889,-0.1,,
2317,r121,2017 Q3,415.0,52.0,576.0,0.0184,0.0,,
2318,r121,2017 Q3,410.0,60.0,663.0,0.025,0.0909,,
2319,r121,2017 Q3,370.0,67.0,673.0,0.0137,0.0152,,
2320,r121,2017 Q3,360.0,255.0,3046.0,-0.0137,0.0494,,
2321,r121,2017 Q3,400.0,138.0,1243.0,0.0,0.2661,,
2322,r121,2017 Q3,415.0,132.0,1057.0,0.1216,0.2571,,
2323,r121,2017 Q3,360.0,215.0,2468.0,0.0286,-0.0693,,
2324,r121,2017 Q3,327.5,176.0,1973.0,0.0155,0.0,,
2325,r121,2017 Q3,320.0,227.0,2730.0,0.0667,-0.0258,,
2326,r121,2017 Q3,322.5,20.0,433.0,0.075,-0.2432,,
2327,r121,2017 Q3,310.0,77.0,857.0,-0.0312,0.1667,,
2328,r121,2017 Q3,322.5,20.0,182.0,0.29,-0.36,,
2329,r121,2017 Q3,240.0,20.0,137.0,0.0909,0.4545,,
2330,r121,2017 Q3,330.0,169.0,1828.0,0.0,0.1342,,
2333,r121,2017 Q3,300.0,151.0,1359.0,0.1881,0.4519,,
2334,r121,2017 Q3,340.0,20.0,222.0,-0.0993,0.3125,,
2335,r121,2017 Q3,390.0,61.0,502.0,0.0833,0.0702,,
2336,r121,2017 Q3,450.0,5.0,133.0,,-0.1111,,
2337,r121,2017 Q3,272.5,52.0,533.0,-0.0917,0.0612,,
2338,r121,2017 Q3,450.0,5.0,75.0,,-0.1,,
2339,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2340,r121,2017 Q3,305.0,555.0,5524.0,-0.0469,0.0511,,
2341,r121,2017 Q3,450.0,5.0,144.0,,-0.0909,,
2342,r121,2017 Q3,450.0,5.0,5.0,,,,
2343,r121,2017 Q3,260.0,37.0,363.0,0.0833,0.2759,,
2344,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2345,r121,2017 Q3,450.0,5.0,20.0,,-0.5,,
2346,r121,2017 Q3,250.0,20.0,271.0,-0.0566,-0.125,,
2347,r121,2017 Q3,450.0,5.0,118.0,,-0.1818,,
2350,r121,2017 Q3,285.0,305.0,3317.0,-0.05,0.0235,,
2352,r121,2017 Q3,310.0,20.0,189.0,-0.0312,0.1579,,
2353,r121,2017 Q3,450.0,5.0,32.0,,-0.625,,
2354,r121,2017 Q3,450.0,5.0,122.0,,0.1111,,
2355,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2356,r121,2017 Q3,450.0,5.0,5.0,,,,
2357,r121,2017 Q3,210.0,20.0,252.0,0.0633,-0.2308,,
2358,r121,2017 Q3,280.0,20.0,293.0,0.0769,-0.1739,,
2359,r121,2017 Q3,450.0,5.0,20.0,,-0.6667,,
2360,r121,2017 Q3,270.0,165.0,1210.0,-0.069,0.2406,,
2361,r121,2017 Q3,450.0,5.0,36.0,,-0.3333,,
2365,r121,2017 Q3,272.5,20.0,225.0,0.0283,-0.2857,,
2369,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2370,r121,2017 Q3,230.0,93.0,732.0,-0.08,0.2917,,
2371,r121,2017 Q3,450.0,5.0,41.0,,-0.8333,,
2372,r121,2017 Q3,230.0,33.0,376.0,0.0952,-0.175,,
2379,r121,2017 Q3,450.0,5.0,5.0,,,,
2380,r121,2017 Q3,317.5,124.0,1265.0,-0.0451,-0.1622,,
2381,r121,2017 Q3,450.0,5.0,48.0,,0.0,,
2382,r121,2017 Q3,330.0,20.0,159.0,0.1,-0.5,,
2386,r121,2017 Q3,450.0,5.0,5.0,,,,
2388,r121,2017 Q3,170.0,20.0,154.0,-0.0145,-0.15,,
2390,r121,2017 Q3,325.0,76.0,827.0,0.0156,0.1014,,
2395,r121,2017 Q3,450.0,5.0,20.0,,-1.0,,
2396,r121,2017 Q3,450.0,5.0,20.0,,-1.0,,
2397,r121,2017 Q3,450.0,5.0,5.0,,,,
2398,r121,2017 Q3,450.0,5.0,5.0,,,,
2399,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2400,r121,2017 Q3,250.0,143.0,1005.0,0.1905,0.5053,,
2401,r121,2017 Q3,450.0,5.0,5.0,,,,
2402,r121,2017 Q3,450.0,5.0,87.0,,-0.1818,,
2403,r121,2017 Q3,450.0,5.0,20.0,,1.0,,
2404,r121,2017 Q3,450.0,5.0,109.0,,-0.619,,
2405,r121,2017 Q3,450.0,5.0,5.0,,,,
2406,r121,2017 Q3,450.0,5.0,37.0,,-0.75,,
2408,r121,2017 Q3,450.0,5.0,5.0,,,,
2409,r121,2017 Q3,450.0,5.0,20.0,,-0.5,,
2410,r121,2017 Q3,450.0,5.0,5.0,,,,
2415,r121,2017 Q3,450.0,5.0,20.0,,-0.5,,
2420,r121,2017 Q3,350.0,20.0,233.0,0.0853,-0.3571,,
2421,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2422,r121,2017 Q3,260.0,46.0,474.0,-0.0796,0.2778,,
2423,r121,2017 Q3,295.0,20.0,173.0,-0.0167,-0.0667,,
2424,r121,2017 Q3,450.0,5.0,20.0,,-1.0,,
2425,r121,2017 Q3,450.0,5.0,68.0,,-0.3333,,
2426,r121,2017 Q3,450.0,5.0,35.0,,-0.6667,,
2427,r121,2017 Q3,345.0,20.0,300.0,0.1129,-0.3103,,
2428,r121,2017 Q3,350.0,258.0,2564.0,0.0294,0.3797,,
2429,r121,2017 Q3,330.0,53.0,544.0,0.0313,0.6061,,
2430,r121,2017 Q3,330.0,285.0,3048.0,0.0313,0.0878,,
2431,r121,2017 Q3,330.0,58.0,580.0,0.0154,0.0,,
2439,r121,2017 Q3,330.0,20.0,100.0,-0.1316,-0.1538,,
2440,r121,2017 Q3,300.0,113.0,1687.0,0.0,0.0089,,
2441,r121,2017 Q3,287.5,20.0,225.0,-0.2014,0.3846,,
2443,r121,2017 Q3,340.0,66.0,756.0,-0.0286,0.0476,,
2444,r121,2017 Q3,390.0,572.0,5581.0,0.0,0.0035,,
2445,r121,2017 Q3,445.0,20.0,352.0,0.0854,0.4286,,
2446,r121,2017 Q3,370.0,57.0,804.0,0.0278,-0.2192,,
2447,r121,2017 Q3,350.0,43.0,426.0,0.0606,-0.0851,,
2448,r121,2017 Q3,320.0,135.0,1127.0,0.0323,0.1739,,
2449,r121,2017 Q3,450.0,5.0,109.0,,3.5,,
2450,r121,2017 Q3,375.0,436.0,4480.0,-0.0132,0.0608,,
2452,r121,2017 Q3,380.0,145.0,1437.0,0.027,0.2083,,
2453,r121,2017 Q3,270.0,20.0,145.0,-0.0357,0.2308,,
2454,r121,2017 Q3,380.0,42.0,505.0,0.0133,-0.2075,,
2455,r121,2017 Q3,330.0,20.0,244.0,-0.1429,0.5,,
2456,r121,2017 Q3,400.0,104.0,1185.0,-0.0244,-0.1111,,
2460,r121,2017 Q3,310.0,236.0,2505.0,0.0,0.2967,,
2462,r121,2017 Q3,330.0,20.0,163.0,0.0313,-0.0833,,
2463,r121,2017 Q3,380.0,72.0,588.0,0.0857,0.3333,,
2464,r121,2017 Q3,410.0,113.0,933.0,0.0186,0.1531,,
2465,r121,2017 Q3,450.0,5.0,20.0,,3.0,,
2466,r121,2017 Q3,335.0,20.0,246.0,-0.029,0.7143,,
2469,r121,2017 Q3,275.0,20.0,137.0,0.0577,0.7143,,
2470,r121,2017 Q3,290.0,103.0,1376.0,0.0,-0.1197,,
2471,r121,2017 Q3,450.0,5.0,126.0,,-0.3,,
2472,r121,2017 Q3,450.0,5.0,133.0,,-0.3571,,
2473,r121,2017 Q3,380.0,50.0,492.0,0.2358,0.087,,
2474,r121,2017 Q3,277.5,38.0,403.0,0.0278,0.0857,,
2475,r121,2017 Q3,450.0,5.0,20.0,,0.0,,
2476,r121,2017 Q3,450.0,5.0,31.0,,0.0,,
2477,r121,2017 Q3,400.0,87.0,943.0,0.0,0.2609,,
2478,r121,2017 Q3,460.0,290.0,3066.0,0.0222,0.0623,,
2479,r121,2017 Q3,660.0,38.0,332.0,-0.0294,0.1176,,
2480,r121,2017 Q3,330.0,333.0,4149.0,0.0313,0.0742,,
2481,r121,2017 Q3,600.0,146.0,1287.0,0.0,0.1774,,
2482,r121,2017 Q3,525.0,46.0,494.0,-0.0278,0.122,,
2483,r121,2017 Q3,500.0,98.0,1107.0,0.0,0.0,,
2484,r121,2017 Q3,380.0,124.0,1342.0,0.0411,0.4253,,
2485,r121,2017 Q3,380.0,178.0,2207.0,-0.0194,0.0114,,
2486,r121,2017 Q3,440.0,171.0,2326.0,-0.0112,-0.05,,
2487,r121,2017 Q3,500.0,147.0,1460.0,0.0,0.2564,,
2488,r121,2017 Q3,450.0,33.0,357.0,0.125,0.7368,,
2489,r121,2017 Q3,500.0,45.0,601.0,0.0,-0.1667,,
2490,r121,2017 Q3,450.0,5.0,31.0,,-0.5,,
2500,r121,2017 Q3,420.0,716.0,7524.0,0.0,0.1699,,
2502,r121,2017 Q3,382.5,100.0,1221.0,0.0066,-0.0909,,
2505,r121,2017 Q3,310.0,60.0,609.0,-0.0312,0.0526,,
2506,r121,2017 Q3,445.0,34.0,408.0,0.1125,-0.15,,
