postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2037,s122,2017 Q3,2017,Q3,Total,1335.0,1332.6693548,62.0,-0.0689,0.0553,0.069,-0.1014,r121,579.0,443.0,3934.0,-0.0186,0.4383,,
2037,s122,2017 Q3,2017,Q3,Non Strata,1643.0,1860.2708333,20.0,-0.2498,-0.0042,0.0909,-0.04,r121,579.0,443.0,3934.0,-0.0186,0.4383,,
2037,s122,2017 Q3,2017,Q3,Strata,939.0,999.4473684,38.0,-0.1905,0.007,0.0556,-0.1364,r121,579.0,443.0,3934.0,-0.0186,0.4383,,
2038,s122,2017 Q3,2017,Q3,Total,1029.0,1148.0801071,56.0,-0.3668,-0.1853,0.3023,0.3023,r121,680.0,191.0,1881.0,0.1574,-0.0155,,
2038,s122,2017 Q3,2017,Q3,Non Strata,1660.0,1642.4038461,20.0,-0.17,0.1857,0.04,-0.1034,r121,680.0,191.0,1881.0,0.1574,-0.0155,,
2038,s122,2017 Q3,2017,Q3,Strata,667.114,719.6662,20.0,0.0185,-0.184,0.6667,1.1429,r121,680.0,191.0,1881.0,0.1574,-0.0155,,
2039,s122,2017 Q3,2017,Q3,Total,1497.5,1519.1903333,48.0,-0.0762,0.0696,0.0213,0.2308,r121,745.0,141.0,1492.0,0.0347,0.1849,,
2039,s122,2017 Q3,2017,Q3,Non Strata,1639.0575,1642.9712,20.0,-0.0944,0.0244,-0.1892,0.3636,r121,745.0,141.0,1492.0,0.0347,0.1849,,
2039,s122,2017 Q3,2017,Q3,Strata,1395.0,1312.8888888,20.0,0.1093,0.4381,0.8,0.0588,r121,745.0,141.0,1492.0,0.0347,0.1849,,
2040,s122,2017 Q3,2017,Q3,Total,1515.0,1443.1458333,72.0,0.01,0.1391,-0.395,-0.3793,r121,695.0,237.0,3002.0,-0.0479,0.0922,,
2040,s122,2017 Q3,2017,Q3,Non Strata,1650.0,1666.1944443999998,54.0,0.0,0.0855,-0.3494,-0.2603,r121,695.0,237.0,3002.0,-0.0479,0.0922,,
2040,s122,2017 Q3,2017,Q3,Strata,677.5,774.0,20.0,-0.2257,-0.0181,-0.5,-0.5814,r121,695.0,237.0,3002.0,-0.0479,0.0922,,
2041,s122,2017 Q3,2017,Q3,Total,1710.0,1957.1951298,77.0,-0.1035,0.0133,-0.0833,-0.061,r121,692.5,204.0,2621.0,-0.0514,-0.1464,,
2041,s122,2017 Q3,2017,Q3,Non Strata,2300.0,2490.0493902,41.0,0.0,0.2105,-0.1458,-0.1277,r121,692.5,204.0,2621.0,-0.0514,-0.1464,,
2041,s122,2017 Q3,2017,Q3,Strata,1300.0,1350.3333333,36.0,-0.0925,0.1207,0.0,0.0286,r121,692.5,204.0,2621.0,-0.0514,-0.1464,,
2042,s122,2017 Q3,2017,Q3,Total,1265.0,1235.016129,93.0,0.1,0.072,-0.1143,-0.0211,r121,600.0,417.0,4756.0,-0.0164,0.0692,,
2042,s122,2017 Q3,2017,Q3,Non Strata,1425.0,1583.6568627,51.0,-0.1426,0.0517,0.0,-0.0727,r121,600.0,417.0,4756.0,-0.0164,0.0692,,
2042,s122,2017 Q3,2017,Q3,Strata,753.0,811.6666666,42.0,-0.0993,0.0765,-0.2222,0.05,r121,600.0,417.0,4756.0,-0.0164,0.0692,,
2043,s122,2017 Q3,2017,Q3,Total,1035.0,1082.6904761,42.0,-0.0591,0.15,0.1351,-0.1429,r121,700.0,142.0,1537.0,0.0,0.0441,,
2043,s122,2017 Q3,2017,Q3,Non Strata,1424.0,1510.9230769,20.0,-0.0213,0.0548,0.1818,0.0,r121,700.0,142.0,1537.0,0.0,0.0441,,
2043,s122,2017 Q3,2017,Q3,Strata,815.0,890.7241379,20.0,-0.1049,-0.064,0.1154,-0.1944,r121,700.0,142.0,1537.0,0.0,0.0441,,
2044,s122,2017 Q3,2017,Q3,Total,1175.0,1094.0882352,34.0,-0.0895,0.1033,0.3077,-0.0811,r121,650.0,89.0,1088.0,-0.037,0.0723,,
2044,s122,2017 Q3,2017,Q3,Non Strata,1200.0,1219.375,20.0,-0.079,-0.0002,0.0435,0.0909,r121,650.0,89.0,1088.0,-0.037,0.0723,,
2044,s122,2017 Q3,2017,Q3,Strata,685.0,704.3260135999999,5.0,,,,,r121,650.0,89.0,1088.0,-0.037,0.0723,,
2045,s122,2017 Q3,2017,Q3,Total,2069.0,2274.625,20.0,-0.129,0.0962,0.3333,0.1429,r121,560.0,20.0,318.0,-0.1884,0.0385,,
2045,s122,2017 Q3,2017,Q3,Non Strata,2088.0,2376.9333333,20.0,-0.121,0.1062,0.25,0.0714,r121,560.0,20.0,318.0,-0.1884,0.0385,,
2045,s122,2017 Q3,2017,Q3,Strata,685.0,704.3260135999999,5.0,,,,,r121,560.0,20.0,318.0,-0.1884,0.0385,,
2046,s122,2017 Q3,2017,Q3,Total,1500.0,1613.5073394,109.0,0.0949,0.3575,0.0583,0.1354,r121,660.0,247.0,2986.0,0.0154,0.0249,,
2046,s122,2017 Q3,2017,Q3,Non Strata,2122.5,2233.6296296,54.0,0.0192,0.2485,0.1739,0.3846,r121,660.0,247.0,2986.0,0.0154,0.0249,,
2046,s122,2017 Q3,2017,Q3,Strata,940.0,1004.66,55.0,-0.0553,0.0805,-0.0351,-0.0351,r121,660.0,247.0,2986.0,0.0154,0.0249,,
2047,s122,2017 Q3,2017,Q3,Total,1290.0,1376.2977777,45.0,-0.1429,0.1336,-0.25,-0.1667,r121,650.0,155.0,1778.0,-0.0511,0.0616,,
2047,s122,2017 Q3,2017,Q3,Non Strata,712.5,743.804,5.0,,,,,r121,650.0,155.0,1778.0,-0.0511,0.0616,,
2047,s122,2017 Q3,2017,Q3,Strata,1122.5,1189.4555555,36.0,0.1114,0.1723,-0.0769,-0.1818,r121,650.0,155.0,1778.0,-0.0511,0.0616,,
2048,s122,2017 Q3,2017,Q3,Total,1630.0,1542.3675384,39.0,0.1126,0.1234,0.2581,0.6957,r121,530.0,144.0,1646.0,0.0192,0.3458,,
2048,s122,2017 Q3,2017,Q3,Non Strata,1792.5,1841.2262142,20.0,0.0317,0.2111,0.5556,0.5556,r121,530.0,144.0,1646.0,0.0192,0.3458,,
2048,s122,2017 Q3,2017,Q3,Strata,754.0,781.6363636000001,20.0,,,,,r121,530.0,144.0,1646.0,0.0192,0.3458,,
2049,s122,2017 Q3,2017,Q3,Total,865.0,1051.7212949999998,61.0,-0.0871,-0.0588,-0.0758,0.1091,r121,525.0,227.0,2362.0,-0.0625,0.2139,,
2049,s122,2017 Q3,2017,Q3,Non Strata,1635.0,1756.9444443999998,20.0,0.0447,0.2111,0.0588,-0.0526,r121,525.0,227.0,2362.0,-0.0625,0.2139,,
2049,s122,2017 Q3,2017,Q3,Strata,680.0,756.5116045999999,43.0,-0.2444,-0.0653,-0.1224,0.1944,r121,525.0,227.0,2362.0,-0.0625,0.2139,,
2050,s122,2017 Q3,2017,Q3,Total,850.0,962.4787234,47.0,0.0119,-0.1053,0.1463,-0.2769,r121,640.0,246.0,2434.0,-0.0857,-0.1338,,
2050,s122,2017 Q3,2017,Q3,Non Strata,1400.0,1297.6363636,20.0,,,,,r121,640.0,246.0,2434.0,-0.0857,-0.1338,,
2050,s122,2017 Q3,2017,Q3,Strata,833.75,860.0694444000001,36.0,-0.0045,-0.0051,0.0,-0.234,r121,640.0,246.0,2434.0,-0.0857,-0.1338,,
2060,s122,2017 Q3,2017,Q3,Total,1100.0,1418.6669268,82.0,-0.2143,-0.0135,-0.0787,-0.2743,r121,647.0,412.0,3884.0,-0.0046,0.0404,,
