Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by DTWP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","DTWP - 1 Digit Level","Count",
"Persons Place of Usual Residence","2044, NSW","50 km to less than 250 km",13
"Persons Place of Usual Residence","2044, NSW","250 km and over",29
"Persons Place of Usual Residence","2044, NSW","Not applicable",3456
"Persons Place of Usual Residence","2044, NSW","Total",7840
"Persons Place of Usual Residence","2045, NSW","Over 0 km to less than 2.5 km",370
"Persons Place of Usual Residence","2045, NSW","Nil distance",240
"Persons Place of Usual Residence","2045, NSW","2.5 km to less than 10 km",1608
"Persons Place of Usual Residence","2045, NSW","10 km to less than 30 km",677
"Persons Place of Usual Residence","2045, NSW","30 km to less than 50 km",39
"Persons Place of Usual Residence","2045, NSW","50 km to less than 250 km",8
"Persons Place of Usual Residence","2045, NSW","250 km and over",16
"Persons Place of Usual Residence","2045, NSW","Not applicable",3505
"Persons Place of Usual Residence","2045, NSW","Total",6453
"Persons Place of Usual Residence","2046, NSW","Over 0 km to less than 2.5 km",1081
"Persons Place of Usual Residence","2046, NSW","Nil distance",819
"Persons Place of Usual Residence","2046, NSW","2.5 km to less than 10 km",6282
"Persons Place of Usual Residence","2046, NSW","10 km to less than 30 km",4532
"Persons Place of Usual Residence","2046, NSW","30 km to less than 50 km",267
"Persons Place of Usual Residence","2046, NSW","50 km to less than 250 km",57
"Persons Place of Usual Residence","2046, NSW","250 km and over",92
"Persons Place of Usual Residence","2046, NSW","Not applicable",13706
"Persons Place of Usual Residence","2046, NSW","Total",26822
"Persons Place of Usual Residence","2047, NSW","Over 0 km to less than 2.5 km",491
"Persons Place of Usual Residence","2047, NSW","Nil distance",361
"Persons Place of Usual Residence","2047, NSW","2.5 km to less than 10 km",3532
"Persons Place of Usual Residence","2047, NSW","10 km to less than 30 km",1520
"Persons Place of Usual Residence","2047, NSW","30 km to less than 50 km",152
"Persons Place of Usual Residence","2047, NSW","50 km to less than 250 km",38
"Persons Place of Usual Residence","2047, NSW","250 km and over",40
"Persons Place of Usual Residence","2047, NSW","Not applicable",5809
"Persons Place of Usual Residence","2047, NSW","Total",11950
"Persons Place of Usual Residence","2048, NSW","Over 0 km to less than 2.5 km",603
"Persons Place of Usual Residence","2048, NSW","Nil distance",237
"Persons Place of Usual Residence","2048, NSW","2.5 km to less than 10 km",2696
"Persons Place of Usual Residence","2048, NSW","10 km to less than 30 km",855
"Persons Place of Usual Residence","2048, NSW","30 km to less than 50 km",86
"Persons Place of Usual Residence","2048, NSW","50 km to less than 250 km",24
"Persons Place of Usual Residence","2048, NSW","250 km and over",24
"Persons Place of Usual Residence","2048, NSW","Not applicable",3413
"Persons Place of Usual Residence","2048, NSW","Total",7940
"Persons Place of Usual Residence","2049, NSW","Over 0 km to less than 2.5 km",607
"Persons Place of Usual Residence","2049, NSW","Nil distance",295
"Persons Place of Usual Residence","2049, NSW","2.5 km to less than 10 km",3726
"Persons Place of Usual Residence","2049, NSW","10 km to less than 30 km",1368
"Persons Place of Usual Residence","2049, NSW","30 km to less than 50 km",115
"Persons Place of Usual Residence","2049, NSW","50 km to less than 250 km",33
"Persons Place of Usual Residence","2049, NSW","250 km and over",31
"Persons Place of Usual Residence","2049, NSW","Not applicable",5101
"Persons Place of Usual Residence","2049, NSW","Total",11278
"Persons Place of Usual Residence","2050, NSW","Over 0 km to less than 2.5 km",1010
"Persons Place of Usual Residence","2050, NSW","Nil distance",209
"Persons Place of Usual Residence","2050, NSW","2.5 km to less than 10 km",3034
"Persons Place of Usual Residence","2050, NSW","10 km to less than 30 km",784
"Persons Place of Usual Residence","2050, NSW","30 km to less than 50 km",73
"Persons Place of Usual Residence","2050, NSW","50 km to less than 250 km",45
"Persons Place of Usual Residence","2050, NSW","250 km and over",36
"Persons Place of Usual Residence","2050, NSW","Not applicable",3770
"Persons Place of Usual Residence","2050, NSW","Total",8967
"Persons Place of Usual Residence","2052, NSW","Over 0 km to less than 2.5 km",288
"Persons Place of Usual Residence","2052, NSW","Nil distance",67
"Persons Place of Usual Residence","2052, NSW","2.5 km to less than 10 km",387
"Persons Place of Usual Residence","2052, NSW","10 km to less than 30 km",70
"Persons Place of Usual Residence","2052, NSW","30 km to less than 50 km",17
"Persons Place of Usual Residence","2052, NSW","50 km to less than 250 km",15
"Persons Place of Usual Residence","2052, NSW","250 km and over",25
"Persons Place of Usual Residence","2052, NSW","Not applicable",2558
"Persons Place of Usual Residence","2052, NSW","Total",3428
"Persons Place of Usual Residence","2060, NSW","Over 0 km to less than 2.5 km",1818
"Persons Place of Usual Residence","2060, NSW","Nil distance",478
"Persons Place of Usual Residence","2060, NSW","2.5 km to less than 10 km",4219
"Persons Place of Usual Residence","2060, NSW","10 km to less than 30 km",1425
"Persons Place of Usual Residence","2060, NSW","30 km to less than 50 km",151
"Persons Place of Usual Residence","2060, NSW","50 km to less than 250 km",73
"Persons Place of Usual Residence","2060, NSW","250 km and over",68
"Persons Place of Usual Residence","2060, NSW","Not applicable",5758
"Persons Place of Usual Residence","2060, NSW","Total",13987
"Persons Place of Usual Residence","2061, NSW","Over 0 km to less than 2.5 km",460
"Persons Place of Usual Residence","2061, NSW","Nil distance",240
"Persons Place of Usual Residence","2061, NSW","2.5 km to less than 10 km",1979
