Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2038, NSW","Not applicable",4092
"Persons Place of Usual Residence","2039, NSW","None",150
"Persons Place of Usual Residence","2039, NSW","1-15 hours",354
"Persons Place of Usual Residence","2039, NSW","16-24 hours",368
"Persons Place of Usual Residence","2039, NSW","25-34 hours",404
"Persons Place of Usual Residence","2039, NSW","35-39 hours",636
"Persons Place of Usual Residence","2039, NSW","40 hours",1110
"Persons Place of Usual Residence","2039, NSW","41-48 hours",655
"Persons Place of Usual Residence","2039, NSW","49 hours and over",1335
"Persons Place of Usual Residence","2039, NSW","Not stated",52
"Persons Place of Usual Residence","2039, NSW","Not applicable",3660
"Persons Place of Usual Residence","2040, NSW","None",373
"Persons Place of Usual Residence","2040, NSW","1-15 hours",978
"Persons Place of Usual Residence","2040, NSW","16-24 hours",1014
"Persons Place of Usual Residence","2040, NSW","25-34 hours",1094
"Persons Place of Usual Residence","2040, NSW","35-39 hours",1824
"Persons Place of Usual Residence","2040, NSW","40 hours",2562
"Persons Place of Usual Residence","2040, NSW","41-48 hours",1338
"Persons Place of Usual Residence","2040, NSW","49 hours and over",2423
"Persons Place of Usual Residence","2040, NSW","Not stated",182
"Persons Place of Usual Residence","2040, NSW","Not applicable",10455
"Persons Place of Usual Residence","2041, NSW","None",266
"Persons Place of Usual Residence","2041, NSW","1-15 hours",745
"Persons Place of Usual Residence","2041, NSW","16-24 hours",742
"Persons Place of Usual Residence","2041, NSW","25-34 hours",718
"Persons Place of Usual Residence","2041, NSW","35-39 hours",981
"Persons Place of Usual Residence","2041, NSW","40 hours",1694
"Persons Place of Usual Residence","2041, NSW","41-48 hours",1065
"Persons Place of Usual Residence","2041, NSW","49 hours and over",2077
"Persons Place of Usual Residence","2041, NSW","Not stated",88
"Persons Place of Usual Residence","2041, NSW","Not applicable",7316
"Persons Place of Usual Residence","2042, NSW","None",325
"Persons Place of Usual Residence","2042, NSW","1-15 hours",971
"Persons Place of Usual Residence","2042, NSW","16-24 hours",954
"Persons Place of Usual Residence","2042, NSW","25-34 hours",1050
"Persons Place of Usual Residence","2042, NSW","35-39 hours",2144
"Persons Place of Usual Residence","2042, NSW","40 hours",2661
"Persons Place of Usual Residence","2042, NSW","41-48 hours",1445
"Persons Place of Usual Residence","2042, NSW","49 hours and over",2072
"Persons Place of Usual Residence","2042, NSW","Not stated",217
"Persons Place of Usual Residence","2042, NSW","Not applicable",7284
"Persons Place of Usual Residence","2043, NSW","None",166
"Persons Place of Usual Residence","2043, NSW","1-15 hours",280
"Persons Place of Usual Residence","2043, NSW","16-24 hours",348
"Persons Place of Usual Residence","2043, NSW","25-34 hours",392
"Persons Place of Usual Residence","2043, NSW","35-39 hours",979
"Persons Place of Usual Residence","2043, NSW","40 hours",1360
"Persons Place of Usual Residence","2043, NSW","41-48 hours",772
"Persons Place of Usual Residence","2043, NSW","49 hours and over",1059
"Persons Place of Usual Residence","2043, NSW","Not stated",57
"Persons Place of Usual Residence","2043, NSW","Not applicable",2602
"Persons Place of Usual Residence","2044, NSW","None",131
"Persons Place of Usual Residence","2044, NSW","1-15 hours",326
"Persons Place of Usual Residence","2044, NSW","16-24 hours",453
"Persons Place of Usual Residence","2044, NSW","25-34 hours",430
"Persons Place of Usual Residence","2044, NSW","35-39 hours",908
"Persons Place of Usual Residence","2044, NSW","40 hours",1022
"Persons Place of Usual Residence","2044, NSW","41-48 hours",512
"Persons Place of Usual Residence","2044, NSW","49 hours and over",688
"Persons Place of Usual Residence","2044, NSW","Not stated",74
"Persons Place of Usual Residence","2044, NSW","Not applicable",3308
"Persons Place of Usual Residence","2045, NSW","None",83
"Persons Place of Usual Residence","2045, NSW","1-15 hours",339
"Persons Place of Usual Residence","2045, NSW","16-24 hours",356
"Persons Place of Usual Residence","2045, NSW","25-34 hours",318
"Persons Place of Usual Residence","2045, NSW","35-39 hours",404
"Persons Place of Usual Residence","2045, NSW","40 hours",586
"Persons Place of Usual Residence","2045, NSW","41-48 hours",310
"Persons Place of Usual Residence","2045, NSW","49 hours and over",604
"Persons Place of Usual Residence","2045, NSW","Not stated",51
"Persons Place of Usual Residence","2045, NSW","Not applicable",3410
"Persons Place of Usual Residence","2046, NSW","None",432
"Persons Place of Usual Residence","2046, NSW","1-15 hours",1258
"Persons Place of Usual Residence","2046, NSW","16-24 hours",1359
"Persons Place of Usual Residence","2046, NSW","25-34 hours",1161
"Persons Place of Usual Residence","2046, NSW","35-39 hours",2109
"Persons Place of Usual Residence","2046, NSW","40 hours",2968
"Persons Place of Usual Residence","2046, NSW","41-48 hours",1458
"Persons Place of Usual Residence","2046, NSW","49 hours and over",2661
"Persons Place of Usual Residence","2046, NSW","Not stated",190
"Persons Place of Usual Residence","2046, NSW","Not applicable",13216
"Persons Place of Usual Residence","2047, NSW","None",185
"Persons Place of Usual Residence","2047, NSW","1-15 hours",539
"Persons Place of Usual Residence","2047, NSW","16-24 hours",601
"Persons Place of Usual Residence","2047, NSW","25-34 hours",535
"Persons Place of Usual Residence","2047, NSW","35-39 hours",854
"Persons Place of Usual Residence","2047, NSW","40 hours",1409
"Persons Place of Usual Residence","2047, NSW","41-48 hours",731
"Persons Place of Usual Residence","2047, NSW","49 hours and over",1393
"Persons Place of Usual Residence","2047, NSW","Not stated",89
"Persons Place of Usual Residence","2047, NSW","Not applicable",5617
"Persons Place of Usual Residence","2048, NSW","None",136
"Persons Place of Usual Residence","2048, NSW","1-15 hours",378
"Persons Place of Usual Residence","2048, NSW","16-24 hours",406
"Persons Place of Usual Residence","2048, NSW","25-34 hours",436
"Persons Place of Usual Residence","2048, NSW","35-39 hours",795
"Persons Place of Usual Residence","2048, NSW","40 hours",1043
"Persons Place of Usual Residence","2048, NSW","41-48 hours",555
"Persons Place of Usual Residence","2048, NSW","49 hours and over",842
"Persons Place of Usual Residence","2048, NSW","Not stated",64
"Persons Place of Usual Residence","2048, NSW","Not applicable",3280
"Persons Place of Usual Residence","2049, NSW","None",191
"Persons Place of Usual Residence","2049, NSW","1-15 hours",511
"Persons Place of Usual Residence","2049, NSW","16-24 hours",571
"Persons Place of Usual Residence","2049, NSW","25-34 hours",591
"Persons Place of Usual Residence","2049, NSW","35-39 hours",1130
"Persons Place of Usual Residence","2049, NSW","40 hours",1423
"Persons Place of Usual Residence","2049, NSW","41-48 hours",765
"Persons Place of Usual Residence","2049, NSW","49 hours and over",1125
"Persons Place of Usual Residence","2049, NSW","Not stated",84
"Persons Place of Usual Residence","2049, NSW","Not applicable",4884
"Persons Place of Usual Residence","2050, NSW","None",153
"Persons Place of Usual Residence","2050, NSW","1-15 hours",445
"Persons Place of Usual Residence","2050, NSW","16-24 hours",429
"Persons Place of Usual Residence","2050, NSW","25-34 hours",352
"Persons Place of Usual Residence","2050, NSW","35-39 hours",825
"Persons Place of Usual Residence","2050, NSW","40 hours",1277
"Persons Place of Usual Residence","2050, NSW","41-48 hours",705
"Persons Place of Usual Residence","2050, NSW","49 hours and over",1071
"Persons Place of Usual Residence","2050, NSW","Not stated",68
"Persons Place of Usual Residence","2050, NSW","Not applicable",3644
"Persons Place of Usual Residence","2052, NSW","None",58
"Persons Place of Usual Residence","2052, NSW","1-15 hours",402
"Persons Place of Usual Residence","2052, NSW","16-24 hours",162
"Persons Place of Usual Residence","2052, NSW","25-34 hours",46
"Persons Place of Usual Residence","2052, NSW","35-39 hours",42
"Persons Place of Usual Residence","2052, NSW","40 hours",39
"Persons Place of Usual Residence","2052, NSW","41-48 hours",25
"Persons Place of Usual Residence","2052, NSW","49 hours and over",21
"Persons Place of Usual Residence","2052, NSW","Not stated",114
"Persons Place of Usual Residence","2052, NSW","Not applicable",2514
"Persons Place of Usual Residence","2060, NSW","None",212
"Persons Place of Usual Residence","2060, NSW","1-15 hours",624
"Persons Place of Usual Residence","2060, NSW","16-24 hours",666
"Persons Place of Usual Residence","2060, NSW","25-34 hours",522
"Persons Place of Usual Residence","2060, NSW","35-39 hours",1221
"Persons Place of Usual Residence","2060, NSW","40 hours",2057
"Persons Place of Usual Residence","2060, NSW","41-48 hours",1056
"Persons Place of Usual Residence","2060, NSW","49 hours and over",1910
"Persons Place of Usual Residence","2060, NSW","Not stated",106
"Persons Place of Usual Residence","2060, NSW","Not applicable",5617
"Persons Place of Usual Residence","2061, NSW","None",114
"Persons Place of Usual Residence","2061, NSW","1-15 hours",252
"Persons Place of Usual Residence","2061, NSW","16-24 hours",240
