Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","INCP Total Personal Income (weekly)","Count",
"Persons Place of Usual Residence","2020, NSW","$400-$499 ($20,800-$25,999)",777
"Persons Place of Usual Residence","2020, NSW","$500-$649 ($26,000-$33,799)",796
"Persons Place of Usual Residence","2020, NSW","$650-$799 ($33,800-$41,599)",894
"Persons Place of Usual Residence","2020, NSW","$800-$999 ($41,600-$51,999)",1100
"Persons Place of Usual Residence","2020, NSW","$1,000-$1,249 ($52,000-$64,999)",1257
"Persons Place of Usual Residence","2020, NSW","$1,250-$1,499 ($65,000-$77,999)",946
"Persons Place of Usual Residence","2020, NSW","$1,500-$1,749 ($78,000-$90,999)",763
"Persons Place of Usual Residence","2020, NSW","$1,750-$1,999 ($91,000-$103,999)",604
"Persons Place of Usual Residence","2020, NSW","$2,000-$2,999 ($104,000-$155,999)",895
"Persons Place of Usual Residence","2020, NSW","$3,000 or more ($156,000 or more)",364
"Persons Place of Usual Residence","2020, NSW","Not stated",1009
"Persons Place of Usual Residence","2020, NSW","Not applicable",1963
"Persons Place of Usual Residence","2020, NSW","Total",14771
"Persons Place of Usual Residence","2021, NSW","Negative income",59
"Persons Place of Usual Residence","2021, NSW","Nil income",733
"Persons Place of Usual Residence","2021, NSW","$1-$149 ($1-$7,799)",281
"Persons Place of Usual Residence","2021, NSW","$150-$299 ($7,800-$15,599)",340
"Persons Place of Usual Residence","2021, NSW","$300-$399 ($15,600-$20,799)",427
"Persons Place of Usual Residence","2021, NSW","$400-$499 ($20,800-$25,999)",480
"Persons Place of Usual Residence","2021, NSW","$500-$649 ($26,000-$33,799)",604
"Persons Place of Usual Residence","2021, NSW","$650-$799 ($33,800-$41,599)",542
"Persons Place of Usual Residence","2021, NSW","$800-$999 ($41,600-$51,999)",754
"Persons Place of Usual Residence","2021, NSW","$1,000-$1,249 ($52,000-$64,999)",1074
"Persons Place of Usual Residence","2021, NSW","$1,250-$1,499 ($65,000-$77,999)",1031
"Persons Place of Usual Residence","2021, NSW","$1,500-$1,749 ($78,000-$90,999)",973
"Persons Place of Usual Residence","2021, NSW","$1,750-$1,999 ($91,000-$103,999)",742
"Persons Place of Usual Residence","2021, NSW","$2,000-$2,999 ($104,000-$155,999)",1543
"Persons Place of Usual Residence","2021, NSW","$3,000 or more ($156,000 or more)",2200
"Persons Place of Usual Residence","2021, NSW","Not stated",1516
"Persons Place of Usual Residence","2021, NSW","Not applicable",1998
"Persons Place of Usual Residence","2021, NSW","Total",15312
"Persons Place of Usual Residence","2022, NSW","Negative income",43
"Persons Place of Usual Residence","2022, NSW","Nil income",723
"Persons Place of Usual Residence","2022, NSW","$1-$149 ($1-$7,799)",288
"Persons Place of Usual Residence","2022, NSW","$150-$299 ($7,800-$15,599)",391
"Persons Place of Usual Residence","2022, NSW","$300-$399 ($15,600-$20,799)",484
"Persons Place of Usual Residence","2022, NSW","$400-$499 ($20,800-$25,999)",542
"Persons Place of Usual Residence","2022, NSW","$500-$649 ($26,000-$33,799)",514
"Persons Place of Usual Residence","2022, NSW","$650-$799 ($33,800-$41,599)",618
"Persons Place of Usual Residence","2022, NSW","$800-$999 ($41,600-$51,999)",692
