Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2052, NSW","Divorced",25
"Persons Place of Usual Residence","2052, NSW","Separated",5
"Persons Place of Usual Residence","2052, NSW","Married",168
"Persons Place of Usual Residence","2052, NSW","Not applicable",20
"Persons Place of Usual Residence","2052, NSW","Total",3428
"Persons Place of Usual Residence","2060, NSW","Never married",5600
"Persons Place of Usual Residence","2060, NSW","Widowed",452
"Persons Place of Usual Residence","2060, NSW","Divorced",1097
"Persons Place of Usual Residence","2060, NSW","Separated",292
"Persons Place of Usual Residence","2060, NSW","Married",5123
"Persons Place of Usual Residence","2060, NSW","Not applicable",1423
"Persons Place of Usual Residence","2060, NSW","Total",13987
"Persons Place of Usual Residence","2061, NSW","Never married",2271
"Persons Place of Usual Residence","2061, NSW","Widowed",233
"Persons Place of Usual Residence","2061, NSW","Divorced",523
"Persons Place of Usual Residence","2061, NSW","Separated",158
"Persons Place of Usual Residence","2061, NSW","Married",2319
"Persons Place of Usual Residence","2061, NSW","Not applicable",441
"Persons Place of Usual Residence","2061, NSW","Total",5943
"Persons Place of Usual Residence","2062, NSW","Never married",2153
"Persons Place of Usual Residence","2062, NSW","Widowed",199
"Persons Place of Usual Residence","2062, NSW","Divorced",604
"Persons Place of Usual Residence","2062, NSW","Separated",167
"Persons Place of Usual Residence","2062, NSW","Married",2602
"Persons Place of Usual Residence","2062, NSW","Not applicable",1279
"Persons Place of Usual Residence","2062, NSW","Total",7004
"Persons Place of Usual Residence","2063, NSW","Never married",1289
"Persons Place of Usual Residence","2063, NSW","Widowed",298
"Persons Place of Usual Residence","2063, NSW","Divorced",253
"Persons Place of Usual Residence","2063, NSW","Separated",84
"Persons Place of Usual Residence","2063, NSW","Married",3001
"Persons Place of Usual Residence","2063, NSW","Not applicable",1423
"Persons Place of Usual Residence","2063, NSW","Total",6348
"Persons Place of Usual Residence","2064, NSW","Never married",2827
"Persons Place of Usual Residence","2064, NSW","Widowed",231
"Persons Place of Usual Residence","2064, NSW","Divorced",499
"Persons Place of Usual Residence","2064, NSW","Separated",159
"Persons Place of Usual Residence","2064, NSW","Married",3981
"Persons Place of Usual Residence","2064, NSW","Not applicable",1832
"Persons Place of Usual Residence","2064, NSW","Total",9525
"Persons Place of Usual Residence","2065, NSW","Never married",10583
"Persons Place of Usual Residence","2065, NSW","Widowed",762
"Persons Place of Usual Residence","2065, NSW","Divorced",2136
"Persons Place of Usual Residence","2065, NSW","Separated",554
"Persons Place of Usual Residence","2065, NSW","Married",11698
"Persons Place of Usual Residence","2065, NSW","Not applicable",4389
"Persons Place of Usual Residence","2065, NSW","Total",30116
"Persons Place of Usual Residence","2066, NSW","Never married",8660
"Persons Place of Usual Residence","2066, NSW","Widowed",1079
"Persons Place of Usual Residence","2066, NSW","Divorced",1794
"Persons Place of Usual Residence","2066, NSW","Separated",580
"Persons Place of Usual Residence","2066, NSW","Married",13429
"Persons Place of Usual Residence","2066, NSW","Not applicable",6086
"Persons Place of Usual Residence","2066, NSW","Total",31625
"Persons Place of Usual Residence","2067, NSW","Never married",7983
"Persons Place of Usual Residence","2067, NSW","Widowed",862
"Persons Place of Usual Residence","2067, NSW","Divorced",1285
"Persons Place of Usual Residence","2067, NSW","Separated",417
"Persons Place of Usual Residence","2067, NSW","Married",11524
"Persons Place of Usual Residence","2067, NSW","Not applicable",4330
"Persons Place of Usual Residence","2067, NSW","Total",26404
"Persons Place of Usual Residence","2068, NSW","Never married",3674
"Persons Place of Usual Residence","2068, NSW","Widowed",574
"Persons Place of Usual Residence","2068, NSW","Divorced",820
"Persons Place of Usual Residence","2068, NSW","Separated",279
"Persons Place of Usual Residence","2068, NSW","Married",7561
"Persons Place of Usual Residence","2068, NSW","Not applicable",3908
"Persons Place of Usual Residence","2068, NSW","Total",16811
"Persons Place of Usual Residence","2069, NSW","Never married",3187
"Persons Place of Usual Residence","2069, NSW","Widowed",485
"Persons Place of Usual Residence","2069, NSW","Divorced",575
"Persons Place of Usual Residence","2069, NSW","Separated",148
"Persons Place of Usual Residence","2069, NSW","Married",6793
"Persons Place of Usual Residence","2069, NSW","Not applicable",3069
"Persons Place of Usual Residence","2069, NSW","Total",14251
"Persons Place of Usual Residence","2070, NSW","Never married",3007
"Persons Place of Usual Residence","2070, NSW","Widowed",589
"Persons Place of Usual Residence","2070, NSW","Divorced",519
"Persons Place of Usual Residence","2070, NSW","Separated",185
"Persons Place of Usual Residence","2070, NSW","Married",6386
"Persons Place of Usual Residence","2070, NSW","Not applicable",2821
"Persons Place of Usual Residence","2070, NSW","Total",13504
"Persons Place of Usual Residence","2071, NSW","Never married",3147
"Persons Place of Usual Residence","2071, NSW","Widowed",572
"Persons Place of Usual Residence","2071, NSW","Divorced",549
"Persons Place of Usual Residence","2071, NSW","Separated",160
"Persons Place of Usual Residence","2071, NSW","Married",6564
"Persons Place of Usual Residence","2071, NSW","Not applicable",2551
"Persons Place of Usual Residence","2071, NSW","Total",13550
"Persons Place of Usual Residence","2072, NSW","Never married",1807
"Persons Place of Usual Residence","2072, NSW","Widowed",292
"Persons Place of Usual Residence","2072, NSW","Divorced",371
"Persons Place of Usual Residence","2072, NSW","Separated",112
"Persons Place of Usual Residence","2072, NSW","Married",3707
"Persons Place of Usual Residence","2072, NSW","Not applicable",1385
"Persons Place of Usual Residence","2072, NSW","Total",7666
"Persons Place of Usual Residence","2073, NSW","Never married",3394
"Persons Place of Usual Residence","2073, NSW","Widowed",490
"Persons Place of Usual Residence","2073, NSW","Divorced",549
"Persons Place of Usual Residence","2073, NSW","Separated",191
"Persons Place of Usual Residence","2073, NSW","Married",8096
"Persons Place of Usual Residence","2073, NSW","Not applicable",3636
"Persons Place of Usual Residence","2073, NSW","Total",16354
"Persons Place of Usual Residence","2074, NSW","Never married",4436
"Persons Place of Usual Residence","2074, NSW","Widowed",1390
"Persons Place of Usual Residence","2074, NSW","Divorced",921
"Persons Place of Usual Residence","2074, NSW","Separated",284
"Persons Place of Usual Residence","2074, NSW","Married",10919
"Persons Place of Usual Residence","2074, NSW","Not applicable",4312
"Persons Place of Usual Residence","2074, NSW","Total",22261
"Persons Place of Usual Residence","2075, NSW","Never married",3771
"Persons Place of Usual Residence","2075, NSW","Widowed",903
"Persons Place of Usual Residence","2075, NSW","Divorced",768
"Persons Place of Usual Residence","2075, NSW","Separated",254
"Persons Place of Usual Residence","2075, NSW","Married",10483
"Persons Place of Usual Residence","2075, NSW","Not applicable",4280
"Persons Place of Usual Residence","2075, NSW","Total",20456
"Persons Place of Usual Residence","2076, NSW","Never married",5606
"Persons Place of Usual Residence","2076, NSW","Widowed",1184
"Persons Place of Usual Residence","2076, NSW","Divorced",1097
"Persons Place of Usual Residence","2076, NSW","Separated",350
"Persons Place of Usual Residence","2076, NSW","Married",11512
"Persons Place of Usual Residence","2076, NSW","Not applicable",4903
"Persons Place of Usual Residence","2076, NSW","Total",24653
