Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2022, NSW","100 years and over",3
"Persons Place of Usual Residence","2022, NSW","Total",12510
"Persons Place of Usual Residence","2023, NSW","0-4 years",574
"Persons Place of Usual Residence","2023, NSW","5-9 years",679
"Persons Place of Usual Residence","2023, NSW","10-14 years",685
"Persons Place of Usual Residence","2023, NSW","15-19 years",669
"Persons Place of Usual Residence","2023, NSW","20-24 years",624
"Persons Place of Usual Residence","2023, NSW","25-29 years",830
"Persons Place of Usual Residence","2023, NSW","30-34 years",900
"Persons Place of Usual Residence","2023, NSW","35-39 years",780
"Persons Place of Usual Residence","2023, NSW","40-44 years",770
"Persons Place of Usual Residence","2023, NSW","45-49 years",769
"Persons Place of Usual Residence","2023, NSW","50-54 years",666
"Persons Place of Usual Residence","2023, NSW","55-59 years",618
"Persons Place of Usual Residence","2023, NSW","60-64 years",539
"Persons Place of Usual Residence","2023, NSW","65-69 years",599
"Persons Place of Usual Residence","2023, NSW","70-74 years",394
"Persons Place of Usual Residence","2023, NSW","75-79 years",249
"Persons Place of Usual Residence","2023, NSW","80-84 years",181
"Persons Place of Usual Residence","2023, NSW","85-89 years",100
"Persons Place of Usual Residence","2023, NSW","90-94 years",65
"Persons Place of Usual Residence","2023, NSW","95-99 years",22
"Persons Place of Usual Residence","2023, NSW","100 years and over",6
"Persons Place of Usual Residence","2023, NSW","Total",10719
"Persons Place of Usual Residence","2024, NSW","0-4 years",695
"Persons Place of Usual Residence","2024, NSW","5-9 years",727
"Persons Place of Usual Residence","2024, NSW","10-14 years",604
"Persons Place of Usual Residence","2024, NSW","15-19 years",502
"Persons Place of Usual Residence","2024, NSW","20-24 years",466
"Persons Place of Usual Residence","2024, NSW","25-29 years",788
"Persons Place of Usual Residence","2024, NSW","30-34 years",1043
"Persons Place of Usual Residence","2024, NSW","35-39 years",994
"Persons Place of Usual Residence","2024, NSW","40-44 years",893
"Persons Place of Usual Residence","2024, NSW","45-49 years",855
"Persons Place of Usual Residence","2024, NSW","50-54 years",745
"Persons Place of Usual Residence","2024, NSW","55-59 years",562
"Persons Place of Usual Residence","2024, NSW","60-64 years",454
"Persons Place of Usual Residence","2024, NSW","65-69 years",453
"Persons Place of Usual Residence","2024, NSW","70-74 years",327
"Persons Place of Usual Residence","2024, NSW","75-79 years",268
"Persons Place of Usual Residence","2024, NSW","80-84 years",245
"Persons Place of Usual Residence","2024, NSW","85-89 years",216
"Persons Place of Usual Residence","2024, NSW","90-94 years",172
"Persons Place of Usual Residence","2024, NSW","95-99 years",55
"Persons Place of Usual Residence","2024, NSW","100 years and over",4
"Persons Place of Usual Residence","2024, NSW","Total",11073
"Persons Place of Usual Residence","2025, NSW","0-4 years",422
"Persons Place of Usual Residence","2025, NSW","5-9 years",387
"Persons Place of Usual Residence","2025, NSW","10-14 years",287
"Persons Place of Usual Residence","2025, NSW","15-19 years",250
"Persons Place of Usual Residence","2025, NSW","20-24 years",366
"Persons Place of Usual Residence","2025, NSW","25-29 years",626
